start_lat,start_long,centre_code,centre_name,postal_code,Latitude,Longitude,distance,count
1.374694227547045,103.836462869405,ST0055,PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU BLK 172 (CC),560172,1.37469423247424,103.836462867365,0.0,9
1.37340092645027,103.849073244454,YW0010,YWCA ANG MO KIO CHILD DEVELOPMENT CENTRE,560513,1.37273696913231,103.850194854525,0.14480954546253672,7
1.3793947062856051,103.83915723200602,RC1900,Little Seeds Preschool,560610,1.37939470300077,103.839157232686,0.0,6
1.36275784702216,103.858015323667,PT8240,LITTLE GENIUS EDUCARE CENTRE,560470,1.36408620030202,103.856692408941,0.2083006085209674,3
1.37986658053968,103.835976650638,NT0481,MY FIRST SKOOL,560601,1.38104134784496,103.835131744823,0.16078731577590635,7
1.37626067387977,103.841230957516,PT7140,CM CENTRAL PTE LTD,560161,1.37416445374568,103.839549130658,0.29861555780604215,7
1.3704593701089098,103.837419259859,ST0002,PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU BLK 109 (CC),560109,1.3700965375834,103.837687766047,0.050154468896797165,12
1.367014060705327,103.85563422638069,PT8778,LITTLE CHAMPS SCHOOLHOUSE (MONTESSORI) PTE. LTD.,560447,1.36747901420817,103.855967139125,0.06354078751223922,10
1.36238829184689,103.857880564737,PT8240,LITTLE GENIUS EDUCARE CENTRE,560470,1.36408620030202,103.856692408941,0.23026797537588425,3
1.37955728191612,103.840735651035,ST0294,PCF Sparkletots Preschool @ Yio Chu Kang Blk 644 (EY),560644,1.37914986228487,103.84093819913,0.05055798385800887,5
1.37587723828646,103.840067482919,PT7140,CM CENTRAL PTE LTD,560161,1.37416445374568,103.839549130658,0.19885388781533253,11
1.3708162677772298,103.859192334256,WP0060,KIDS' STAR CHILD DEVELOPMENT CENTRE (S) PTE LTD,560565,1.3695393440628,103.858385596097,0.1678316118618614,5
1.37057765782637,103.857854578394,WP0060,KIDS' STAR CHILD DEVELOPMENT CENTRE (S) PTE LTD,560565,1.3695393440628,103.858385596097,0.1295889441029373,7
1.36157912717141,103.853805386957,ST0147,PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 415 (CC),560415,1.36445335577543,103.853655233672,0.31983428005394404,4
1.37291376311164,103.85704609864,ST0293,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 556 (DS),560556,1.37203236308683,103.857625375797,0.11719540858172092,8
1.37164990020958,103.843644176374,RC0830,JAMIYAH CHILD CARE CENTRE,560124,1.37089179310251,103.844768276408,0.15063924718735114,8
1.37123613284275,103.859192016193,ST0293,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 556 (DS),560556,1.37203236308683,103.857625375797,0.1952433268609294,6
1.36880359418472,103.841618072603,ST0387,PCF Sparkletots Preschool @ Teck Ghee Blk 227 (EY),560227,1.36877838877909,103.840273944362,0.1493500488060471,8
1.36134255640613,103.851698621454,NT0480,MY FIRST SKOOL,560331,1.36211140145298,103.85076647513,0.1342513147321373,3
1.37257962452706,103.836220813247,PT9415,SUNFLOWER PRESCHOOL @ AMK PTE. LTD.,569897,1.37300750160253,103.837612421294,0.1617448923942059,10
1.3767110527145503,103.841168190659,ST0294,PCF Sparkletots Preschool @ Yio Chu Kang Blk 644 (EY),560644,1.37914986228487,103.84093819913,0.27221474257548994,7
1.3754616311928,103.848942047568,ST0057,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 502 (EY),560502,1.37572474765516,103.849934305516,0.11404483476331868,5
1.3688197702679268,103.83792872119368,NT0534,MY FIRST SKOOL,560229,1.36907645907976,103.838228660084,0.043862918961624815,9
1.37530562109726,103.839395071769,PT7140,CM CENTRAL PTE LTD,560161,1.37416445374568,103.839549130658,0.1279620714379389,10
1.3677694721805,103.841255432522,ST0387,PCF Sparkletots Preschool @ Teck Ghee Blk 227 (EY),560227,1.36877838877909,103.840273944362,0.156393839890194,7
1.3653466972017898,103.85415182597,ST0147,PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 415 (CC),560415,1.36445335577543,103.853655233672,0.11357198060571852,6
1.37316478582724,103.857411830838,ST0293,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 556 (DS),560556,1.37203236308683,103.857625375797,0.12805724362057852,5
1.36884962699231,103.844564835127,NT0508,MY FIRST SKOOL,560209,1.36897079641509,103.843284524871,0.14286994429536443,10
1.374169235464005,103.8530019223,na,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 533 (EY),560533,1.37416923724326,103.853001920124,0.0,6
1.3700550085806902,103.8548805628395,NT0527,MY FIRST SKOOL,560571,1.37005501296043,103.85488055876,0.0,9
1.3826518465140802,103.840858094028,ST0294,PCF Sparkletots Preschool @ Yio Chu Kang Blk 644 (EY),560644,1.37914986228487,103.84093819913,0.38926013195189363,3
1.3662010408294198,103.857200967235,ST0291,PCF Sparkletots Preschool @ Teck Ghee Blk 466 (KN),560466,1.36581960538764,103.857061606231,0.04512602567935902,9
1.3695634430191397,103.844698910817,RC0830,JAMIYAH CHILD CARE CENTRE,560124,1.37089179310251,103.844768276408,0.14781406198512168,9
1.3697039497140202,103.8434767893855,NT0508,MY FIRST SKOOL,560209,1.36897079641509,103.843284524871,0.0842250871821729,8
1.36494601377911,103.854043379775,ST0147,PCF SPARKLETOTS PRESCHOOL @ TECK GHEE BLK 415 (CC),560415,1.36445335577543,103.853655233672,0.06968916714650503,7
1.38046758670095,103.83881672162902,RC1900,Little Seeds Preschool,560610,1.37939470300077,103.839157232686,0.12508166807815613,6
