start_lat,start_long,Unnamed: 0,OBJECTID,STN_NAME,STN_NO,geometry,Latitude,Longitude,distance,count
1.374694227547045,103.836462869405,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.2925316858448978,1
1.37340092645027,103.849073244454,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.4604738621195442,1
1.3793947062856051,103.83915723200602,39,41,YIO CHU KANG MRT STATION,NS15,POINT (103.8449472897542 1.381756046113004),1.3817560461130038,103.84494728975424,0.6946984836265411,0
1.36275784702216,103.858015323667,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,1.158624501496552,0
1.37986658053968,103.835976650638,167,197,LENTOR MRT STATION,TE5,POINT (103.8364694869142 1.385061946926286),1.3850619469262857,103.8364694869142,0.579925951129173,0
1.37626067387977,103.841230957516,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.6744230088344675,0
1.3704593701089098,103.837419259859,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.19254539272842003,1
1.367014060705327,103.85563422638069,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.6843858628710818,0
1.36238829184689,103.857880564737,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,1.1737034312836916,0
1.37955728191612,103.840735651035,39,41,YIO CHU KANG MRT STATION,NS15,POINT (103.8449472897542 1.381756046113004),1.3817560461130038,103.84494728975424,0.5278403925537767,0
1.37587723828646,103.840067482919,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.5543263181821848,0
1.3708162677772298,103.859192334256,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,1.0415229028845248,0
1.37057765782637,103.857854578394,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.8905927638738629,0
1.36157912717141,103.853805386957,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.9644960866931842,0
1.37291376311164,103.85704609864,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.8840344758825033,0
1.37164990020958,103.843644176374,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.7440285036561324,0
1.37123613284275,103.859192016193,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,1.0498126743061527,0
1.36880359418472,103.841618072603,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.6455691824655901,0
1.36134255640613,103.851698621454,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.9108982653885376,0
1.37257962452706,103.836220813247,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.08654774982888007,1
1.3767110527145503,103.841168190659,39,41,YIO CHU KANG MRT STATION,NS15,POINT (103.8449472897542 1.381756046113004),1.3817560461130038,103.84494728975424,0.7003992450480043,0
1.3754616311928,103.848942047568,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.6883159041795154,0
1.3688197702679268,103.83792872119368,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.383217175611858,1
1.37530562109726,103.839395071769,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.4577600495350819,1
1.3677694721805,103.841255432522,168,196,MAYFLOWER MRT STATION,TE6,POINT (103.8368239320149 1.372086638674201),1.3720866386742012,103.83682393201484,0.6874047068035923,0
1.3653466972017898,103.85415182597,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.6459922052969203,0
1.37316478582724,103.857411830838,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.9328828496761906,0
1.36884962699231,103.844564835127,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.5989258037066445,0
1.374169235464005,103.8530019223,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.6351065069648356,0
1.3700550085806902,103.8548805628395,16,17,ANG MO KIO MRT STATION,NS16,POINT (103.8499329938898 1.369347303788564),1.3693473037885635,103.84993299388984,0.555239808632307,0
1.3826518465140802,103.840858094028,39,41,YIO CHU KANG MRT STATION,NS15,POINT (103.8449472897542 1.381756046113004),1.3817560461130038,103.84494728975424,0.4650589390464408,1
