centre_code,centre_name,postal_code,Latitude,Longitude
YM0174,MY WORLD PRESCHOOL LTD,821232,1.40218146470722,103.891041190731
YM0162,MY WORLD PRESCHOOL LTD.,562700,1.36941049804616,103.846059822142
YM0183,MY WORLD PRESCHOOL LTD,650460,1.35395376726395,103.739717096448
YM0172,MY WORLD PRESCHOOL LTD,760675,1.42006293748965,103.843561434577
YM0191,MY WORLD PRESCHOOL LTD,530993,1.38511499043052,103.88362378135
YM0164,MY WORLD PRESCHOOL LTD.,533476,1.37794957092138,103.904346035596
YM0050,MY WORLD PRESCHOOL LTD.,521113,1.34647851722058,103.946176771298
YM0154,MY WORLD PRESCHOOL LTD.,730725,1.44435697271584,103.799119701865
PT8433,LITTLE VILLAGE ON THE GRANGE,239704,1.29942800917592,103.83162962683
YM0100,MY WORLD PRESCHOOL LTD.,520123,1.34530661835845,103.953187956159
YM0188,MY WORLD PRESCHOOL LTD,520613,1.36547139149667,103.93625034316
PT9221,WHIZ KIDS MONTESSORI @HOUGANG PTE LTD,530539,1.37748508098977,103.890382070653
YM0192,MY WORLD PRESCHOOL LTD,520610,1.36463646143194,103.937173937407
RC1739,SGM LITTLE KIDZ @ RIVERVALE,543188,1.39522162663414,103.904808624541
YM0160,MY WORLD PRESCHOOL LTD.,732787,1.44456206997385,103.800811554206
YM0167,MY WORLD PRESCHOOL LTD,820121,1.39368219385611,103.908299456765
YM0170,MY WORLD PRESCHOOL LTD,320116,1.32769993704525,103.861236369481
YM0163,MY WORLD PRESCHOOL LTD.,750462,1.45445319201857,103.814035193265
YM0130,MY WORLD PRESCHOOL LTD.,510575,1.37318924489331,103.946360527843
YM0152,MY WORLD PRESCHOOL LTD.,330004,1.31569896370315,103.859785170022
YM0060,MY WORLD PRESCHOOL LTD.,570171,1.34678777068608,103.853709975879
YM0166,MY WORLD PRESCHOOL LTD,531376,1.36346009799329,103.893576325679
YM0151,MY WORLD PRESCHOOL LTD.,520428,1.35908616639236,103.948910995142
YM0158,MY WORLD PRESCHOOL LTD.,320014,1.32369795683614,103.86209172719
