start_lat,start_long,school_name,postal_code,Latitude,Longitude,distance,count
1.374694227547045,103.836462869405,MAYFLOWER PRIMARY SCHOOL,569948,1.3761,103.8358,0.17270354571154914,2
1.37340092645027,103.849073244454,ANDERSON SECONDARY SCHOOL,569206,1.3743,103.8516,0.2979553540375635,2
1.3793947062856051,103.83915723200602,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.3617984511622986,2
1.36275784702216,103.858015323667,TOWNSVILLE PRIMARY SCHOOL,569730,1.36,103.8538,0.5596630089364404,0
1.37986658053968,103.835976650638,MAYFLOWER PRIMARY SCHOOL,569948,1.3761,103.8358,0.4190214969856443,1
1.37626067387977,103.841230957516,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.2160534561268946,1
1.3704593701089098,103.837419259859,ANG MO KIO PRIMARY SCHOOL,569920,1.3692,103.8393,0.2514762815717332,3
1.367014060705327,103.85563422638069,DEYI SECONDARY SCHOOL,569277,1.366,103.8525,0.3659731025100814,1
1.36238829184689,103.857880564737,TOWNSVILLE PRIMARY SCHOOL,569730,1.36,103.8538,0.525300415738864,0
1.37955728191612,103.840735651035,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.23004501780978853,2
1.37587723828646,103.840067482919,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.3265425694750591,2
1.3708162677772298,103.859192334256,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.8116547205255489,0
1.37057765782637,103.857854578394,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.6720449829071922,0
1.36157912717141,103.853805386957,TOWNSVILLE PRIMARY SCHOOL,569730,1.36,103.8538,0.17548170659678422,1
1.37291376311164,103.85704609864,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.5678342501813134,0
1.37164990020958,103.843644176374,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.5093130291379312,0
1.37123613284275,103.859192016193,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.8047309361323421,0
1.36880359418472,103.841618072603,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.17915773803546753,2
1.36134255640613,103.851698621454,TOWNSVILLE PRIMARY SCHOOL,569730,1.36,103.8538,0.2770507440250412,2
1.37257962452706,103.836220813247,CHIJ ST. NICHOLAS GIRLS' SCHOOL,569405,1.3735,103.8343,0.23663377700664856,3
1.3767110527145503,103.841168190659,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.1767256916643993,1
1.3754616311928,103.848942047568,ANDERSON SECONDARY SCHOOL,569206,1.3743,103.8516,0.3222634221633833,1
1.3688197702679268,103.83792872119368,ANG MO KIO PRIMARY SCHOOL,569920,1.3692,103.8393,0.15809112147752485,2
1.37530562109726,103.839395071769,MAYFLOWER PRIMARY SCHOOL,569948,1.3761,103.8358,0.40902691116853623,2
1.3677694721805,103.841255432522,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.11718846206314149,2
1.3653466972017898,103.85415182597,DEYI SECONDARY SCHOOL,569277,1.366,103.8525,0.19734592836905188,2
1.37316478582724,103.857411830838,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.6127507248830627,0
1.36884962699231,103.844564835127,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.3141245972878119,1
1.374169235464005,103.8530019223,ANDERSON SECONDARY SCHOOL,569206,1.3743,103.8516,0.15642039323415066,2
1.3700550085806902,103.8548805628395,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.39249165993407464,1
1.3826518465140802,103.840858094028,ANDERSON PRIMARY SCHOOL,569785,1.3842,103.8414,0.1822678883408232,2
1.3662010408294198,103.857200967235,DEYI SECONDARY SCHOOL,569277,1.366,103.8525,0.5227246636277062,0
1.3695634430191397,103.844698910817,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.3746114466416676,1
1.3697039497140202,103.8434767893855,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.30246115646359556,2
1.36494601377911,103.854043379775,DEYI SECONDARY SCHOOL,569277,1.366,103.8525,0.20764510062669816,2
1.38046758670095,103.83881672162902,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.4563259872140194,2
1.36619678831055,103.841505011903,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.14488131140596122,3
1.37101657804607,103.839304839187,ANG MO KIO PRIMARY SCHOOL,569920,1.3692,103.8393,0.20186815735775698,1
1.3697435855576203,103.856023138277,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.5180035630979845,0
1.37122322102768,103.843593321222,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.46263159462585496,1
1.37479893193048,103.839858129785,YIO CHU KANG SECONDARY SCHOOL,569868,1.378,103.8421,0.43424075744694396,2
1.3753135371124598,103.836245672487,MAYFLOWER PRIMARY SCHOOL,569948,1.3761,103.8358,0.10044587589084929,2
1.37059756050934,103.852367040901,JING SHAN PRIMARY SCHOOL,569228,1.3721,103.852,0.17186591100319165,2
1.37004739686134,103.844594754874,ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422,0.4049556573982605,1
1.36538422642268,103.852966961527,DEYI SECONDARY SCHOOL,569277,1.366,103.8525,0.08586932429700593,2
1.37619319942084,103.837038191014,MAYFLOWER PRIMARY SCHOOL,569948,1.3761,103.8358,0.13794377406339545,2
