centre_code,centre_name,postal_code,Latitude,Longitude
YM0188,MY WORLD PRESCHOOL LTD,520613,1.3655,103.9363
PT9221,WHIZ KIDS MONTESSORI @HOUGANG PTE LTD,530539,1.3775,103.8904
YM0192,MY WORLD PRESCHOOL LTD,520610,1.3646,103.9372
RC1739,SGM LITTLE KIDZ @ RIVERVALE,543188,1.3952,103.9048
YM0160,MY WORLD PRESCHOOL LTD.,732787,1.4446,103.8008
YM0167,MY WORLD PRESCHOOL LTD,820121,1.3937,103.9083
YM0170,MY WORLD PRESCHOOL LTD,320116,1.3277,103.8612
YM0163,MY WORLD PRESCHOOL LTD.,750462,1.4545,103.814
YM0130,MY WORLD PRESCHOOL LTD.,510575,1.3731,103.9463
YM0152,MY WORLD PRESCHOOL LTD.,330004,1.3159,103.8599
YM0060,MY WORLD PRESCHOOL LTD.,570171,1.3468,103.8537
YM0166,MY WORLD PRESCHOOL LTD,531376,1.3635,103.8936
YM0151,MY WORLD PRESCHOOL LTD.,520428,1.3591,103.9489
YM0158,MY WORLD PRESCHOOL LTD.,320014,1.3237,103.8621
YM0185,MY WORLD PRESCHOOL LTD.,550504,1.3737,103.8762
YM0176,MY WORLD PRESCHOOL LTD,751362,1.4472,103.814
YM0171,MY WORLD PRESCHOOL LTD,321113,1.321,103.8598
YM0030,MY WORLD PRESCHOOL LTD.,530373,1.3627,103.8904
PT5210,ACE @ WORK CHILDCARE PTE LTD,680703,1.3913,103.7459
PT9676,NANYANG CHILDREN SCHOOL,102078,1.2736,103.8083
ST0224,PCF Sparkletots Preschool @ Toa Payoh Central Blk 97 (KN),310097,1.3386,103.8478
PT9816,Maplebear Kids Adventure Pte Ltd,419260,1.3230000000000002,103.9058
ST0255,PCF Sparkletots Preschool @ Pasir Ris West Blk 738 (EY),510738,1.3792,103.9365
PT8361,First Steps Preschool @ Depot Road,100108,1.281,103.8102
PT8512,Star Learners @ Woodlands 888 Pte Ltd,730888,1.4374,103.7952
RC1878,St. Paul's Church Kindergarten,534682,1.3586,103.8819
RC1877,St. James' Church Kindergarten,267828,1.3129,103.7962
PT9335,STAR LEARNERS @ SENGKANG WEST PTE LTD,809442,1.3883,103.8657
PT9521,LITTLE PADDINGTON PRESCHOOL EC PTE LTD,457184,1.3156,103.9278
ST0015,PCF SPARKLETOTS PRESCHOOL @ EUNOS BLK 134 (CC),470134,1.3328,103.9127
PT9078,CHILDFIRST@TAMPINES PTE. LTD.,529540,1.3527,103.9429
PT9203,NOBLELAND ARTS N LEARNING PLACE @CLEMENTI PTE. LTD.,123311,1.3201,103.7656
PT8633,BETWEEN TWO TREES PRESCHOOL,277375,1.318,103.787
ST0033,PCF SPARKLETOTS PRESCHOOL @ QUEENSTOWN BLK 365 (CC),149732,1.2991,103.8014
PW0100,PCS ANG MO KIO CHILD CARE CENTRE,560442,1.3657,103.8552
PT9200,PICKET FENCE @ YISHUN PTE. LTD.,768090,1.4368,103.8436
PT9664,IMAN KINDERGARTEN (YISHUN) PTE LTD,760934,1.4258,103.8366
EB0003,E-BRIDGE PRE-SCHOOL PTE. LTD.,541178,1.389,103.9097
PT8572,LITTLE FOOTPRINTS PRESCHOOL PTE. LTD.,347931,1.3294,103.8709
ST0133,PCF Sparkletots Preschool @ Nee Soon South Blk 879 (EY),760879,1.4145,103.836
YW0010,YWCA ANG MO KIO CHILD DEVELOPMENT CENTRE,560513,1.3727,103.8502
PT9739,Thinkkidz,569139,1.3865,103.8447
RC1782,SUPER TALENT CHILDCARE LTD,560218,1.3651,103.8417
PT9408,SUNFLOWER PRESCHOOL @ TECK GHEE PTE LTD,562455,1.3683,103.8585
PT9415,SUNFLOWER PRESCHOOL @ AMK PTE. LTD.,569897,1.3730000000000002,103.8376
PT8611,SUNFLOWER KINDERHUB @ AMK PTE LTD,568659,1.3727,103.8382
PT9157,STAR LEARNERS @ YIO CHU KANG PTE. LTD.,560645,1.3793,103.8422
PT8917,STAR LEARNERS @ ANG MO KIO PTE. LTD.,560320,1.3656,103.8484
PT9401,SHAWS CDLC @LORONG CHUAN PTE. LTD,568346,1.3546,103.8593
PT9435,SDM-MORIAH PRESCHOOL (FLORA VISTA) PTE LTD,567708,1.3913,103.8505
PT9002,PAT'S SCHOOLHOUSE PTE. LTD.,568046,1.3807,103.8466
NT0481,MY FIRST SKOOL,560601,1.381,103.8351
NT0527,MY FIRST SKOOL,560571,1.3701,103.8549
NT0478,MY FIRST SKOOL,560541,1.3739,103.8556
NT0030,MY FIRST SKOOL,560343,1.3684,103.8492
NT0480,MY FIRST SKOOL,560331,1.3621,103.8508
NT0350,MY FIRST SKOOL,560329,1.3666,103.8469
NT0534,MY FIRST SKOOL,560229,1.3691,103.8382
