start_lat,start_long,name_of_centre,postal_code,Latitude,Longitude,distance,count
1.374694227547045,103.836462869405,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.3019842202331244,1
1.37340092645027,103.849073244454,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.3157534303261648,1
1.3793947062856051,103.83915723200602,Blk 628 Ang Mo Kio Ave 4,560628,1.38098761665454,103.840628087484,0.24090130922325648,1
1.36275784702216,103.858015323667,Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631,0.3031746257571513,1
1.37986658053968,103.835976650638,Blk 628 Ang Mo Kio Ave 4,560628,1.38098761665454,103.840628087484,0.5315455825328571,0
1.37626067387977,103.841230957516,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.2986606992813879,1
1.3704593701089098,103.837419259859,Blk 226D Ang Mo Kio Ave 1,564226,1.36680096218071,103.839152274224,0.44982443926752963,3
1.367014060705327,103.85563422638069,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.1591429748208262,2
1.36238829184689,103.857880564737,Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631,0.28949547256259966,1
1.37955728191612,103.840735651035,Blk 628 Ang Mo Kio Ave 4,560628,1.38098761665454,103.840628087484,0.15939465960761867,1
1.37587723828646,103.840067482919,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.17971122872656606,1
1.3708162677772298,103.859192334256,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.42468525307887095,1
1.37057765782637,103.857854578394,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.3074744220645,2
1.36157912717141,103.853805386957,Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631,0.2034944535469814,1
1.37291376311164,103.85704609864,Blk 527 Ang Mo Kio Ave 10,560527,1.37277209302753,103.854457955288,0.2879558432182636,1
1.37164990020958,103.843644176374,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.3236625353121265,1
1.37123613284275,103.859192016193,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.4573253598006008,1
1.36880359418472,103.841618072603,Blk 226H Ang Mo Kio Street 22,568226,1.36717874094695,103.840157741978,0.24273902089053498,2
1.36134255640613,103.851698621454,Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631,0.42458899424441743,2
1.37257962452706,103.836220813247,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.3932575673508391,1
1.3767110527145503,103.841168190659,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.3283960057510749,2
1.3754616311928,103.848942047568,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.4544972230628781,1
1.3688197702679268,103.83792872119368,Blk 226D Ang Mo Kio Ave 1,564226,1.36680096218071,103.839152274224,0.26230741303061905,2
1.37530562109726,103.839395071769,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.08980122819300052,1
1.3677694721805,103.841255432522,Blk 226H Ang Mo Kio Street 22,568226,1.36717874094695,103.840157741978,0.13849246479624375,2
1.3653466972017898,103.85415182597,Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631,0.3247606550715243,2
1.37316478582724,103.857411830838,Blk 527 Ang Mo Kio Ave 10,560527,1.37277209302753,103.854457955288,0.3310442887731369,1
1.36884962699231,103.844564835127,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.42786431654689544,1
1.374169235464005,103.8530019223,Blk 527 Ang Mo Kio Ave 10,560527,1.37277209302753,103.854457955288,0.22420909330754799,1
1.3700550085806902,103.8548805628395,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.25962426910305386,2
1.3826518465140802,103.840858094028,Blk 628 Ang Mo Kio Ave 4,560628,1.38098761665454,103.840628087484,0.18669459824647636,1
1.3662010408294198,103.857200967235,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.2458159286776926,2
1.3695634430191397,103.844698910817,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.3529322754226936,1
1.3697039497140202,103.8434767893855,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.4345424405701058,2
1.36494601377911,103.854043379775,Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631,0.2898167027228654,2
1.38046758670095,103.83881672162902,Blk 628 Ang Mo Kio Ave 4,560628,1.38098761665454,103.840628087484,0.2093631464698823,1
1.36619678831055,103.841505011903,Blk 226H Ang Mo Kio Street 22,568226,1.36717874094695,103.840157741978,0.1852270865806332,2
1.37101657804607,103.839304839187,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.3904402239941275,3
1.3697435855576203,103.856023138277,Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863,0.17042160943112,2
1.37122322102768,103.843593321222,Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202,0.3407981236906591,1
1.37479893193048,103.839858129785,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.08154618317387885,1
1.3753135371124598,103.836245672487,Blks 160/162 Ang Mo Kio Ave 4,560160,1.37452773784115,103.839176060905,0.33705389642420475,1
