start_lat,start_long,school_name,postal_code,Latitude,Longitude,distance,count
1.374694227547045,103.836462869405,MAYFLOWER PRIMARY SCHOOL,569948,1.37614621670476,103.835805246743,0.17712140154970069,2
1.37340092645027,103.849073244454,ANDERSON SECONDARY SCHOOL,569206,1.37434001701177,103.851554107068,0.2947022988355881,2
1.3793947062856051,103.83915723200602,YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352,0.36665312486116824,2
1.36275784702216,103.858015323667,TOWNSVILLE PRIMARY SCHOOL,569730,1.35994649477568,103.853768994775,0.5658094559811805,0
1.37986658053968,103.835976650638,MAYFLOWER PRIMARY SCHOOL,569948,1.37614621670476,103.835805246743,0.4138641385167788,1
1.37626067387977,103.841230957516,YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352,0.2155551940423534,1
1.3704593701089098,103.837419259859,ANG MO KIO PRIMARY SCHOOL,569920,1.36870363392975,103.839705325534,0.3202586487840221,3
1.367014060705327,103.85563422638069,DEYI SECONDARY SCHOOL,569277,1.36599702567717,103.852545772422,0.36124180549199786,1
1.36238829184689,103.857880564737,TOWNSVILLE PRIMARY SCHOOL,569730,1.35994649477568,103.853768994775,0.5312877763926237,0
1.37955728191612,103.840735651035,YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352,0.23476251925888225,2
1.37587723828646,103.840067482919,YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352,0.3274889883277612,2
1.3708162677772298,103.859192334256,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.8286434522569062,0
1.37057765782637,103.857854578394,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.6848170305678365,0
1.36157912717141,103.853805386957,TOWNSVILLE PRIMARY SCHOOL,569730,1.35994649477568,103.853768994775,0.18147150155758932,1
1.37291376311164,103.85704609864,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.6041560759921307,0
1.37164990020958,103.843644176374,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.5070117711764465,0
1.37123613284275,103.859192016193,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.8251103311075504,0
1.36880359418472,103.841618072603,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.17353667964084804,2
1.36134255640613,103.851698621454,TOWNSVILLE PRIMARY SCHOOL,569730,1.35994649477568,103.853768994775,0.2774350762077077,2
1.37257962452706,103.836220813247,CHIJ ST. NICHOLAS GIRLS' SCHOOL,569405,1.37347687878916,103.834253269436,0.2402480535375301,3
1.3767110527145503,103.841168190659,YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352,0.17703500445683734,1
1.3754616311928,103.848942047568,ANDERSON SECONDARY SCHOOL,569206,1.37434001701177,103.851554107068,0.31581720344053477,1
1.3688197702679268,103.83792872119368,ANG MO KIO PRIMARY SCHOOL,569920,1.36870363392975,103.839705325534,0.19779051685406962,3
1.37530562109726,103.839395071769,MAYFLOWER PRIMARY SCHOOL,569948,1.37614621670476,103.835805246743,0.40959843320175066,2
1.3677694721805,103.841255432522,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.11088357656278028,2
1.3653466972017898,103.85415182597,DEYI SECONDARY SCHOOL,569277,1.36599702567717,103.852545772422,0.19250224814385894,2
1.37316478582724,103.857411830838,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.6506000635060962,0
1.36884962699231,103.844564835127,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.3161085554209242,1
1.374169235464005,103.8530019223,ANDERSON SECONDARY SCHOOL,569206,1.37434001701177,103.851554107068,0.1619581186360642,2
1.3700550085806902,103.8548805628395,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.38477879021155176,1
1.3826518465140802,103.840858094028,ANDERSON PRIMARY SCHOOL,569785,1.38419941907925,103.841411716006,0.18264113000586205,2
1.3662010408294198,103.857200967235,DEYI SECONDARY SCHOOL,569277,1.36599702567717,103.852545772422,0.5176587061240271,0
1.3695634430191397,103.844698910817,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.37560486978448876,1
1.3697039497140202,103.8434767893855,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.3012324853576285,2
1.36494601377911,103.854043379775,DEYI SECONDARY SCHOOL,569277,1.36599702567717,103.852545772422,0.20327636191726106,2
1.38046758670095,103.83881672162902,PRESBYTERIAN HIGH SCHOOL,569845,1.38175437421949,103.842382968794,0.4212001337346465,2
1.36619678831055,103.841505011903,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.14584613837985144,3
1.37101657804607,103.839304839187,ANG MO KIO PRIMARY SCHOOL,569920,1.36870363392975,103.839705325534,0.2608484962831876,1
1.3697435855576203,103.856023138277,JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755,0.5145547248475567,0
1.37122322102768,103.843593321222,ANG MO KIO SECONDARY SCHOOL,569362,1.36733710171069,103.842154973672,0.4604602286101175,1
1.37479893193048,103.839858129785,YIO CHU KANG SECONDARY SCHOOL,569868,1.37797597740925,103.84213696352,0.43443673341146183,2
1.3753135371124598,103.836245672487,MAYFLOWER PRIMARY SCHOOL,569948,1.37614621670476,103.835805246743,0.10467126432683668,2
