BLK_NO,ROAD_NAME,POSTAL,LATITUDE,LONGITUDE
485,JURONG WEST AVENUE 1,640485,1.348347108,103.727243
327C,ANCHORVALE ROAD,543327,1.396093199,103.8887209
505,WEST COAST DRIVE,120505,1.312280541,103.7599815
505,WEST COAST DRIVE,120505,1.312278436,103.7599789
19,JALAN MEMBINA,163019,1.285570416,103.8262762
311,HOUGANG AVENUE 5,530311,1.365667331,103.8948537
311,HOUGANG AVENUE 5,530311,1.365669936,103.8948478
425,BEDOK NORTH ROAD,460425,1.329369602,103.9290675
212,BOON LAY PLACE,640212,1.349127041,103.713021
156,YUNG LOH ROAD,610156,1.32789041,103.7217888
156,YUNG LOH ROAD,610156,1.327892805,103.7217851
649,PUNGGOL CENTRAL,820649,1.397238237,103.9149154
816,TAMPINES AVENUE 4,520816,1.34770505,103.9375556
411,HOUGANG AVENUE 10,530411,1.374094139,103.8953126
896A,TAMPINES STREET 81,521896,1.348597178,103.9325463
812,JURONG WEST STREET 81,640812,1.346308544,103.6958638
812,JURONG WEST STREET 81,640812,1.346309491,103.695869
520,HOUGANG AVENUE 6,530520,1.37310428,103.890062
585,PASIR RIS STREET 53,510585,1.375350847,103.9473766
585,PASIR RIS STREET 53,510585,1.37555169,103.9475132
437,TAMPINES STREET 43,520437,1.359966245,103.9515878
608,BEDOK RESERVOIR ROAD,470608,1.331841299,103.9131962
482,TAMPINES STREET 43,520482,1.361630492,103.9530009
986C,JURONG WEST STREET 93,643986,1.336957064,103.6956682
352,UBI AVENUE 1,400352,1.325227018,103.8994002
514,HOUGANG AVENUE 10,530514,1.372116705,103.8891927
308,HOUGANG AVENUE 5,530308,1.366809108,103.895756
2,GHIM MOH ROAD,270002,1.31237873,103.7869715
663,JALAN DAMAI,410663,1.334759317,103.9087091
457,CHOA CHU KANG AVENUE 4,680457,1.378635453,103.7361868
218,BUKIT BATOK STREET 21,650218,1.347295765,103.754196
41,CIRCUIT ROAD,370041,1.327205686,103.8862674
676A,CHOA CHU KANG CRESCENT,681676,1.402000843,103.7466849
877,WOODLANDS AVENUE 9,730877,1.445128761,103.7913203
877,WOODLANDS AVENUE 9,730877,1.445128755,103.7913203
351A,TAMPINES STREET 33,521351,1.35228456,103.9628169
351,TAMPINES STREET 33,520351,1.352815451,103.9629132
351,TAMPINES STREET 33,520351,1.352956789,103.9630674
157,TAMPINES STREET 12,521157,1.351073291,103.9450039
225,JURONG EAST STREET 21,600225,1.34178121,103.7372515
125,HOUGANG AVENUE 1,530125,1.352409842,103.8864916
125,HOUGANG AVENUE 1,530125,1.352409836,103.8864916
238,LORONG 1 TOA PAYOH,310238,1.340210062,103.8515746
613,YISHUN STREET 61,760613,1.420066635,103.8352837
183A,JELEBU ROAD,671183,1.37994475,103.7626754
183,JELEBU ROAD,670183,1.379963836,103.7630483
183,JELEBU ROAD,670183,1.379963826,103.7630483
443,HOUGANG AVENUE 8,530443,1.37948044,103.8932017
107,TOWNER ROAD,321107,1.319795086,103.8604358
107,TOWNER ROAD,321107,1.319337336,103.860226
662,CHOA CHU KANG CRESCENT,680662,1.401474823,103.7507914
986B,BUANGKOK CRESCENT,532986,1.382272735,103.8801292
415,TAMPINES STREET 41,520415,1.359458745,103.9469657
972,HOUGANG STREET 91,530972,1.378220406,103.8794205
158,WOODLANDS STREET 13,730158,1.434032157,103.77478
136,BUKIT BATOK WEST AVENUE 6,650136,1.350900429,103.7448576
232,ANG MO KIO AVENUE 3,560232,1.368346068,103.837196
108,LORONG 1 TOA PAYOH,310108,1.341552529,103.8472951
756,CHOA CHU KANG NORTH 5,680756,1.392487757,103.7456787
572,PASIR RIS STREET 53,510572,1.37352014,103.9456155
855,JURONG WEST STREET 81,640855,1.346919494,103.6961882
619,JURONG WEST STREET 65,640619,1.341517346,103.6998994
418,BEDOK NORTH AVENUE 2,460418,1.328564212,103.9300365
516,WEST COAST ROAD,120516,1.308167622,103.7604456
313,TAMPINES STREET 33,520313,1.352217048,103.9568041
313,TAMPINES STREET 33,520313,1.352217668,103.9568099
411,SAUJANA ROAD,670411,1.383100562,103.767566
530,ANG MO KIO AVENUE 10,560530,1.372732438,103.8552733
618,WOODLANDS AVENUE 4,730618,1.433640888,103.7966442
484,ADMIRALTY LINK,750484,1.457071216,103.8153084
205,TAMPINES STREET 21,520205,1.351717551,103.951966
205,TAMPINES STREET 21,520205,1.35171765,103.9519631
133,YISHUN STREET 11,760133,1.432557372,103.8307841
412A,FERNVALE LINK,791412,1.389231236,103.8779061
59,MARINE TERRACE,440059,1.305859665,103.9147218
59,MARINE TERRACE,440059,1.305856485,103.9147299
59,MARINE TERRACE,440059,1.305856485,103.9147299
454,JURONG WEST STREET 42,640454,1.350928569,103.7175979
17A,TELOK BLANGAH CRESCENT,91017,1.277382607,103.821604
716,BEDOK RESERVOIR ROAD,470716,1.337837952,103.9249737
139B,LORONG 1A TOA PAYOH,312139,1.336711091,103.8438782
148,WOODLANDS STREET 13,730148,1.43576275,103.77403
102,ANG MO KIO AVENUE 3,560102,1.370650098,103.8394103
102,ANG MO KIO AVENUE 3,560102,1.370650092,103.8394103
181,PASIR RIS STREET 11,510181,1.364397543,103.9605721
672A,KLANG LANE,211672,1.308490524,103.8525463
13,EUNOS CRESCENT,400013,1.322686619,103.9035009
494A,JURONG WEST STREET 41,641494,1.349557514,103.7243291
494,JURONG WEST STREET 41,640494,1.349507502,103.724914
494,JURONG WEST STREET 41,640494,1.349501873,103.7249144
494,JURONG WEST STREET 41,640494,1.349501873,103.7249144
233,COMPASSVALE WALK,540233,1.389940815,103.9007214
974,JURONG WEST STREET 93,640974,1.339647178,103.6932721
435,YISHUN AVENUE 6,760435,1.421332274,103.847281
633,BEDOK RESERVOIR ROAD,410633,1.330388938,103.9052209
899B,WOODLANDS DRIVE 50,731899,1.436133348,103.7952643
899B,WOODLANDS DRIVE 50,731899,1.436133346,103.7952643
842,TAMPINES STREET 82,520842,1.351738509,103.9359524
307B,ANG MO KIO AVENUE 1,562307,1.36583937,103.8446308
142,BISHAN STREET 12,570142,1.345501861,103.8534436
1208,UPPER BOON KENG ROAD,387312,1.31627846,103.8738512
1211,UPPER BOON KENG ROAD,387313,1.316329624,103.8725701
1215,UPPER BOON KENG ROAD,387315,1.31721083,103.8728052
12,UPPER BOON KENG ROAD,380012,1.314230663,103.8700611
1208,UPPER BOON KENG ROAD,387312,1.316270863,103.8739473
1205,UPPER BOON KENG ROAD,387311,1.315573132,103.8726203
1205,UPPER BOON KENG ROAD,387311,1.315586818,103.872464
1205,UPPER BOON KENG ROAD,387311,1.31569112,103.8723879
12,UPPER BOON KENG ROAD,380012,1.314230667,103.8700612
178,EDGEFIELD PLAINS,820178,1.399406544,103.908431
132,CLARENCE LANE,140132,1.292255234,103.8148798
132,CLARENCE LANE,140132,1.292071781,103.8149499
288D,BUKIT BATOK STREET 25,653288,1.345803048,103.7592601
174C,EDGEDALE PLAINS,823174,1.396973051,103.9104245
229,PASIR RIS STREET 21,510229,1.372689348,103.9617806
229,PASIR RIS STREET 21,NIL,1.372688535,103.9617786
229,PASIR RIS STREET 21,510229,1.372688535,103.9617786
35A,JALAN RUMAH TINGGI,151035,1.287693947,103.8089335
35,JALAN RUMAH TINGGI,150035,1.287965957,103.8089558
35,JALAN RUMAH TINGGI,150035,1.287973009,103.8088393
335,TAMPINES STREET 32,520335,1.352504939,103.9605945
410A,FERNVALE ROAD,791410,1.390052695,103.8759405
325,CLEMENTI AVENUE 5,120325,1.315096685,103.7668174
325,CLEMENTI AVENUE 5,120325,1.315426719,103.7668401
584,WOODLANDS DRIVE 16,730584,1.429557314,103.7948078
653C,JURONG WEST STREET 61,643653,1.335425627,103.6969347
653C,JURONG WEST STREET 61,643653,1.335425617,103.6969347
31,HOLLAND CLOSE,270031,1.306975268,103.7970803
31,HOLLAND CLOSE,270031,1.307022108,103.7970243
360,BUKIT BATOK STREET 31,650360,1.361067048,103.7506254
915,HOUGANG STREET 91,530915,1.377521837,103.8838133
915,HOUGANG STREET 91,530915,1.377518935,103.883568
915,HOUGANG STREET 91,530915,1.377570295,103.8835662
141,PASIR RIS STREET 11,510141,1.36418011,103.9587356
312,TAMPINES STREET 33,520312,1.352570368,103.9572573
617C,PUNGGOL DRIVE,823617,1.40194562,103.9124567
177,WOODLANDS STREET 13,730177,1.434357914,103.7780884
328,SERANGOON AVENUE 3,550328,1.350286159,103.8683526
188B,RIVERVALE DRIVE,542188,1.394540687,103.905459
239,LORONG 1 TOA PAYOH,310239,1.340508942,103.8510407
724,JURONG WEST STREET 72,640724,1.345086718,103.6981859
724,JURONG WEST STREET 72,NIL,1.345086716,103.6981859
724,JURONG WEST STREET 72,640724,1.345090522,103.6981906
218,PETIR ROAD,670218,1.37446598,103.7736063
58,STRATHMORE AVENUE,142058,1.29308496,103.8107889
310,TAMPINES STREET 32,520310,1.353463207,103.9571131
662,YISHUN AVENUE 4,760662,1.420539324,103.8406901
662,YISHUN AVENUE 4,760662,1.420472738,103.8405299
894B,WOODLANDS DRIVE 50,731894,1.436009439,103.7895075
894B,WOODLANDS DRIVE 50,731894,1.435999884,103.7895078
894B,WOODLANDS DRIVE 50,731894,1.436009459,103.7897218
128,RIVERVALE STREET,540128,1.390490496,103.9026885
750,WOODLANDS AVENUE 4,730750,1.444340363,103.7939491
750,WOODLANDS AVENUE 4,730750,1.444423026,103.7938837
326,TAMPINES STREET 32,520326,1.352628551,103.9586445
79,MARINE DRIVE,440079,1.301533134,103.907812
309,CANBERRA ROAD,750309,1.446757346,103.8215624
309,CANBERRA ROAD,750309,1.44675734,103.8215624
805,CHAI CHEE ROAD,460805,1.324306049,103.9216254
103,SPOTTISWOODE PARK ROAD,80103,1.274660969,103.8352798
980,JURONG WEST STREET 93,640980,1.339117748,103.6936715
82,STRATHMORE AVENUE,141082,1.294545259,103.8087511
82,STRATHMORE AVENUE,141082,1.294524989,103.8087559
82,STRATHMORE AVENUE,141082,1.294545264,103.8087511
