flat_type,floor_area_sqm
MULTI-GENERATION,160.51162790697674
EXECUTIVE,144.51762489364287
5 ROOM,118.00945798472172
4 ROOM,95.37396573958893
3 ROOM,68.20397875007015
2 ROOM,45.877229080932786
1 ROOM,31.0
