school_name,postal_code,Latitude,Longitude
DAMAI SECONDARY SCHOOL,479229,1.33692798510393,103.927091653438
DAZHONG PRIMARY SCHOOL,659441,1.35940345327924,103.748265393745
DE LA SALLE SCHOOL,689285,1.3947078296399,103.743201812831
DEYI SECONDARY SCHOOL,569277,1.36599702567717,103.852545772422
DUNEARN SECONDARY SCHOOL,659204,1.36357900792871,103.74472109107
DUNMAN HIGH SCHOOL,436895,1.29996216014962,103.88294155989
DUNMAN SECONDARY SCHOOL,529093,1.36065258337022,103.956213906966
EAST SPRING PRIMARY SCHOOL,529258,1.35268400746357,103.961676849165
EAST SPRING SECONDARY SCHOOL,529231,1.35622508992581,103.960640700298
EDGEFIELD PRIMARY SCHOOL,828869,1.40009139510996,103.907847599114
EDGEFIELD SECONDARY SCHOOL,828814,1.40059309981824,103.902687385465
ELIAS PARK PRIMARY SCHOOL,518866,1.37505696315817,103.945289416873
ENDEAVOUR PRIMARY SCHOOL,757521,1.45388170417263,103.817174701639
EUNOIA JUNIOR COLLEGE,573838,1.36213757183547,103.841286169122
EUNOS PRIMARY SCHOOL,419529,1.32438836310047,103.904374791251
EVERGREEN PRIMARY SCHOOL,738908,1.44414835451585,103.794545295922
EVERGREEN SECONDARY SCHOOL,738489,1.44149131273737,103.794137756171
FAIRFIELD METHODIST SCHOOL (PRIMARY),139648,1.30100441916733,103.785455606827
FAIRFIELD METHODIST SCHOOL (SECONDARY),139649,1.30183742154919,103.784340509094
FAJAR SECONDARY SCHOOL,678972,1.375600053443,103.763998914082
FARRER PARK PRIMARY SCHOOL,217567,1.31193950204473,103.850544534433
FENGSHAN PRIMARY SCHOOL,469680,1.32970184654986,103.932005069334
FERN GREEN PRIMARY SCHOOL,797538,1.39731988228585,103.880137234155
FERNVALE PRIMARY SCHOOL,797701,1.38966308328476,103.874088586824
FIRST TOA PAYOH PRIMARY SCHOOL,319252,1.34014274139827,103.856175538933
FRONTIER PRIMARY SCHOOL,648200,1.33641298743234,103.69970173931
FUCHUN PRIMARY SCHOOL,739063,1.43047990810126,103.778192944298
FUCHUN SECONDARY SCHOOL,739062,1.43070452883799,103.777625748539
FUHUA PRIMARY SCHOOL,609647,1.33650394789627,103.736103745748
FUHUA SECONDARY SCHOOL,649410,1.34701408913756,103.72652089832
GAN ENG SENG PRIMARY SCHOOL,158901,1.28559516494962,103.815547410064
GAN ENG SENG SCHOOL,159561,1.28907114485773,103.823733673089
GEYLANG METHODIST SCHOOL (PRIMARY),389706,1.31759126757284,103.883845744916
GEYLANG METHODIST SCHOOL (SECONDARY),389705,1.31764900474601,103.882661129303
GONGSHANG PRIMARY SCHOOL,529176,1.35723721393297,103.949115320172
GREENDALE PRIMARY SCHOOL,828848,1.39648195114256,103.91233462071
GREENDALE SECONDARY SCHOOL,828866,1.39696019936894,103.91170014084
GREENRIDGE PRIMARY SCHOOL,677744,1.3858892193692,103.767794469258
GREENRIDGE SECONDARY SCHOOL,679938,1.38186433722811,103.773828466913
GREENWOOD PRIMARY SCHOOL,737942,1.43989958331782,103.804725587384
GUANGYANG PRIMARY SCHOOL,579806,1.34569011530238,103.849453239895
GUANGYANG SECONDARY SCHOOL,579807,1.34440856042912,103.850208933626
HAI SING CATHOLIC SCHOOL,519421,1.37434641160381,103.954957944437
HAIG GIRLS' SCHOOL,427072,1.31194344271383,103.902902557195
HENRY PARK PRIMARY SCHOOL,278790,1.31667646178347,103.784296227747
HILLGROVE SECONDARY SCHOOL,659250,1.35273576615912,103.752986488399
HOLY INNOCENTS' HIGH SCHOOL,534786,1.37154508822261,103.896398814264
HOLY INNOCENTS' PRIMARY SCHOOL,536451,1.36693830877349,103.894114899795
HONG WEN SCHOOL,327829,1.32175999964553,103.857628468881
HORIZON PRIMARY SCHOOL,828819,1.39963005110234,103.913254844387
HOUGANG PRIMARY SCHOOL,534238,1.37738245231461,103.880805274557
HOUGANG SECONDARY SCHOOL,534256,1.37764019332164,103.882533963338
HUA YI SECONDARY SCHOOL,649371,1.35234365488339,103.721832320169
HUAMIN PRIMARY SCHOOL,768857,1.4273013308197,103.844091119272
HWA CHONG INSTITUTION,269734,1.3263580622144,103.803290365022
INNOVA PRIMARY SCHOOL,737888,1.42896700684852,103.790607539185
JIEMIN PRIMARY SCHOOL,768515,1.42768847665227,103.830425490093
JING SHAN PRIMARY SCHOOL,569228,1.37158403448249,103.851772988755
JUNYUAN PRIMARY SCHOOL,528906,1.34805283888458,103.939026808982
JUNYUAN SECONDARY SCHOOL,528933,1.35361315263537,103.933886165824
JURONG PIONEER JUNIOR COLLEGE,688258,1.38437406410733,103.75437461519
JURONG PRIMARY SCHOOL,609476,1.34843859698946,103.733156566858
JURONG SECONDARY SCHOOL,618652,1.33002032220942,103.723952961648
JURONG WEST PRIMARY SCHOOL,648368,1.33964443629144,103.699024035245
JURONG WEST SECONDARY SCHOOL,648348,1.33525634688323,103.702098904443
JURONGVILLE SECONDARY SCHOOL,609790,1.35128862770284,103.728907710089
JUYING PRIMARY SCHOOL,649037,1.3388763709006,103.687889547387
JUYING SECONDARY SCHOOL,649038,1.3387227734133,103.687310264575
KEMING PRIMARY SCHOOL,659762,1.34506349843091,103.75592322797
KENT RIDGE SECONDARY SCHOOL,127368,1.30122773426098,103.764889617566
KHENG CHENG SCHOOL,319580,1.3373381935639,103.847148501824
KONG HWA SCHOOL,399772,1.31099674009193,103.888352029067
KRANJI PRIMARY SCHOOL,689189,1.39369034929329,103.746831748711
KRANJI SECONDARY SCHOOL,689333,1.39005109871311,103.741190664845
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,579793,1.34939813669536,103.855018233311
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,579795,1.35017129930314,103.854983746416
LAKESIDE PRIMARY SCHOOL,618310,1.33820397704287,103.718089546664
LIANHUA PRIMARY SCHOOL,659243,1.35424191127295,103.754165828711
LOYANG VIEW SECONDARY SCHOOL,519073,1.36658417167238,103.956944585725
MAHA BODHI SCHOOL,408931,1.32847086658384,103.901298737314
MANJUSRI SECONDARY SCHOOL,408940,1.32747123084846,103.901719963831
MARIS STELLA HIGH SCHOOL,368051,1.34139473351039,103.877852484979
MARSILING PRIMARY SCHOOL,738927,1.43383904037059,103.773643013846
MARSILING SECONDARY SCHOOL,739110,1.43664424769955,103.776008090454
MARYMOUNT CONVENT SCHOOL,297754,1.34043840661368,103.839811736775
MAYFLOWER PRIMARY SCHOOL,569948,1.37614621670476,103.835805246743
MAYFLOWER SECONDARY SCHOOL,569384,1.36827266209722,103.835360726863
MEE TOH SCHOOL,828867,1.39485356081865,103.90857257736
MERIDIAN PRIMARY SCHOOL,518798,1.37552831658484,103.934889078518
MERIDIAN SECONDARY SCHOOL,518901,1.3672468492013,103.948972483629
METHODIST GIRLS' SCHOOL (PRIMARY),599986,1.33294800935714,103.783393009829
METHODIST GIRLS' SCHOOL (SECONDARY),599986,1.33294800935714,103.783393009829
MILLENNIA INSTITUTE,658965,1.35031939200985,103.741593577684
MONTFORT JUNIOR SCHOOL,538786,1.37382444075979,103.889307782925
MONTFORT SECONDARY SCHOOL,538785,1.37396131656912,103.888928372577
NAN CHIAU HIGH SCHOOL,545079,1.38879582498399,103.890004423764
NAN CHIAU PRIMARY SCHOOL,545080,1.39221149906592,103.891180928186
NAN HUA HIGH SCHOOL,129956,1.30809529518605,103.768561446725
NAN HUA PRIMARY SCHOOL,128806,1.31920159956387,103.761095065761
NANYANG GIRLS' HIGH SCHOOL,288683,1.33058326666479,103.802420979943
NANYANG JUNIOR COLLEGE,556111,1.35028314949236,103.866498721912
NANYANG PRIMARY SCHOOL,268097,1.32107094241153,103.807681852799
NATIONAL JUNIOR COLLEGE,288913,1.33029291072172,103.804110905425
NAVAL BASE PRIMARY SCHOOL,769028,1.41590195697649,103.839100590207
NAVAL BASE SECONDARY SCHOOL,768689,1.41937881620441,103.831050390247
NEW TOWN PRIMARY SCHOOL,148812,1.29981138884057,103.799964819895
NEW TOWN SECONDARY SCHOOL,139657,1.30977590011357,103.77318863421
NGEE ANN PRIMARY SCHOOL,449149,1.30553224180437,103.917570005713
NGEE ANN SECONDARY SCHOOL,529283,1.35447525755806,103.956747262496
NORTH SPRING PRIMARY SCHOOL,545088,1.38706146494859,103.903202683028
NORTH VIEW PRIMARY SCHOOL,768960,1.42745159462566,103.848378442893
NORTH VISTA PRIMARY SCHOOL,544974,1.38255066171151,103.89626457548
NORTH VISTA SECONDARY SCHOOL,545081,1.381131285358,103.899188813886
NORTHBROOKS SECONDARY SCHOOL,768692,1.42081285020652,103.845147332528
NORTHLAND PRIMARY SCHOOL,769026,1.42130404159807,103.840792923345
NORTHLAND SECONDARY SCHOOL,768578,1.43580183362637,103.840104687784
NORTHLIGHT SCHOOL,327830,1.3191002158167,103.85575955353
NORTHOAKS PRIMARY SCHOOL,757622,1.45732867302094,103.814075611175
NORTHSHORE PRIMARY SCHOOL,828671,1.41842322079348,103.905147201163
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,129957,1.30656448055686,103.769365156929
OASIS PRIMARY SCHOOL,828716,1.40507184758584,103.911200193835
OPERA ESTATE PRIMARY SCHOOL,458436,1.31996876377748,103.923752668632
ORCHID PARK SECONDARY SCHOOL,768454,1.41532032779634,103.837859241343
OUTRAM SECONDARY SCHOOL,168622,1.28651357464735,103.837127264403
PALM VIEW PRIMARY SCHOOL,544822,1.38376923022123,103.891354675017
PARK VIEW PRIMARY SCHOOL,519524,1.37801687647812,103.9392021807
PASIR RIS CREST SECONDARY SCHOOL,518934,1.37284060102246,103.959728202919
PASIR RIS PRIMARY SCHOOL,518968,1.37245132722087,103.962922699031
PASIR RIS SECONDARY SCHOOL,529400,1.35422732653396,103.948962626204
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),536741,1.3502545600894,103.884846876112
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),536742,1.35096755912522,103.885120050588
PEI CHUN PUBLIC SCHOOL,319320,1.33677864390672,103.855341310212
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,597610,1.33807302121151,103.776250903095
PEI HWA SECONDARY SCHOOL,797702,1.39037504993234,103.878461745339
PEI TONG PRIMARY SCHOOL,129857,1.31652862942944,103.767682345847
PEICAI SECONDARY SCHOOL,556094,1.35951583222214,103.870010749055
PEIRCE SECONDARY SCHOOL,575566,1.36665944653812,103.83021606804
PEIYING PRIMARY SCHOOL,768687,1.41741627551251,103.830143209875
PING YI SECONDARY SCHOOL,468980,1.3270167275387,103.920700671987
PIONEER PRIMARY SCHOOL,649076,1.34883617453427,103.695003812477
POI CHING SCHOOL,529067,1.35765121877679,103.935246486174
PRESBYTERIAN HIGH SCHOOL,569845,1.38175437421949,103.842382968794
PRINCESS ELIZABETH PRIMARY SCHOOL,659163,1.34942618948433,103.740307576571
PUNGGOL COVE PRIMARY SCHOOL,828674,1.41197712005806,103.899147983053
PUNGGOL GREEN PRIMARY SCHOOL,828772,1.40239091736157,103.898771918364
PUNGGOL PRIMARY SCHOOL,538787,1.37820062547641,103.894667159512
PUNGGOL SECONDARY SCHOOL,828870,1.40205738421399,103.909213706482
PUNGGOL VIEW PRIMARY SCHOOL,828845,1.4057889942173,103.905191018271
QIFA PRIMARY SCHOOL,128104,1.3132658326807,103.756629101811
QIHUA PRIMARY SCHOOL,738525,1.44203596557592,103.788339762066
QUEENSTOWN PRIMARY SCHOOL,149303,1.29552905587752,103.807648475656
QUEENSTOWN SECONDARY SCHOOL,148800,1.29352126774652,103.813190980055
QUEENSWAY SECONDARY SCHOOL,149295,1.30022271592188,103.802207291625
RADIN MAS PRIMARY SCHOOL,99840,1.27489701529771,103.824115781658
RAFFLES GIRLS' PRIMARY SCHOOL,289072,1.33004178068277,103.806397828938
RAFFLES GIRLS' SCHOOL (SECONDARY),318871,1.34217479932295,103.84313404727
RAFFLES INSTITUTION,575954,1.34618775847486,103.845875110532
RAFFLES INSTITUTION,575954,1.34638270218392,103.844787797061
RED SWASTIKA SCHOOL,469719,1.33405659580859,103.934317528484
